,dataset,run_1,run_2,run_3,mean_accuracy
29,GunPoint,0.98,0.9866666666666668,0.9733333333333334,0.9800000000000001
30,Ham,0.6571428571428571,0.6857142857142857,0.7238095238095238,0.688888888888889
31,HandOutlines,0.8675675675675676,0.8756756756756757,0.8648648648648649,0.8693693693693695
32,Haptics,0.4415584415584415,0.4318181818181818,0.422077922077922,0.4318181818181818
33,Herring,0.703125,0.53125,0.640625,0.625
34,InlineSkate,0.4327272727272727,0.3818181818181818,0.3963636363636363,0.40363636363636357
35,InsectWingbeatSound,0.5848484848484848,0.591919191919192,0.5959595959595959,0.5909090909090909
36,ItalyPowerDemand,0.9611273080660836,0.9591836734693876,0.9591836734693876,0.9598315516682864
37,LargeKitchenAppliances,0.7546666666666667,0.7626666666666667,0.7626666666666667,0.7600000000000001
38,Lightning2,0.7704918032786885,0.7377049180327869,0.7540983606557377,0.7540983606557377
39,Lightning7,0.7534246575342466,0.7534246575342466,0.7534246575342466,0.7534246575342466
40,Mallat,0.9667377398720682,0.9667377398720682,0.9650319829424308,0.9661691542288557
41,Meat,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332
42,MedicalImages,0.7421052631578947,0.7460526315789474,0.7447368421052631,0.7442982456140351
43,MiddlePhalanxOutlineAgeGroup,0.564935064935065,0.5584415584415584,0.551948051948052,0.5584415584415584
44,MiddlePhalanxOutlineCorrect,0.7731958762886598,0.7594501718213058,0.7697594501718213,0.7674684994272623
45,MiddlePhalanxTW,0.4935064935064935,0.5064935064935064,0.5,0.5
46,MoteStrain,0.9129392971246006,0.9137380191693292,0.9177316293929711,0.9148029818956337
47,NonInvasiveFetalECGThorax1,0.9012722646310432,0.9063613231552164,0.9033078880407124,0.9036471586089907
48,NonInvasiveFetalECGThorax2,0.9302798982188296,0.9302798982188296,0.9302798982188296,0.9302798982188296
49,OSULeaf,0.8264462809917356,0.8264462809917356,0.8305785123966942,0.8278236914600551
50,OliveOil,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
51,PhalangesOutlinesCorrect,0.7797202797202797,0.7855477855477856,0.7797202797202797,0.7816627816627816
52,Phoneme,0.1102320675105485,0.1097046413502109,0.0886075949367088,0.10284810126582274
53,Plane,1.0,1.0,1.0,1.0
54,ProximalPhalanxOutlineAgeGroup,0.8,0.7902439024390244,0.7902439024390244,0.7934959349593497
55,ProximalPhalanxOutlineCorrect,0.8487972508591065,0.8591065292096219,0.8556701030927835,0.854524627720504
56,ProximalPhalanxTW,0.7219512195121951,0.7268292682926829,0.7219512195121951,0.7235772357723578
57,RefrigerationDevices,0.5013333333333333,0.4986666666666666,0.496,0.49866666666666665
58,ScreenType,0.384,0.4053333333333333,0.408,0.39911111111111114
59,ShapeletSim,1.0,1.0,1.0,1.0
60,ShapesAll,0.8483333333333334,0.845,0.84,0.8444444444444444
61,SmallKitchenAppliances,0.7413333333333333,0.744,0.7306666666666667,0.7386666666666666
62,SonyAIBORobotSurface1,0.9251247920133112,0.9234608985024958,0.9234608985024958,0.9240155296727677
63,SonyAIBORobotSurface2,0.91395592864638,0.9171038824763904,0.9087093389296956,0.9132563833508222
64,StarLightCurves,0.9661243322000972,0.967095677513356,0.9658814958717824,0.9663671685284118
65,Strawberry,0.945945945945946,0.9432432432432432,0.9405405405405406,0.9432432432432433
66,SwedishLeaf,0.9376,0.9312,0.936,0.9349333333333334
67,Symbols,0.9798994974874372,0.978894472361809,0.9778894472361808,0.978894472361809
68,SyntheticControl,0.9866666666666668,0.9866666666666668,0.9833333333333332,0.9855555555555556
69,ToeSegmentation1,0.8947368421052632,0.9078947368421052,0.8947368421052632,0.8991228070175438
70,ToeSegmentation2,0.9,0.9307692307692308,0.9153846153846154,0.9153846153846154
71,Trace,1.0,1.0,1.0,1.0
72,TwoLeadECG,0.9762949956101844,0.9754170324846356,0.974539069359087,0.9754170324846356
73,TwoPatterns,0.9985,0.99875,0.99925,0.9988333333333334
74,UWaveGestureLibraryAll,0.9120603015075376,0.9067560022333891,0.908710217755444,0.9091755071654569
75,UWaveGestureLibraryX,0.7828029034059185,0.7839195979899497,0.7853154662199888,0.7840126558719523
76,UWaveGestureLibraryY,0.7202680067001676,0.7213847012841987,0.7227805695142379,0.7214777591662013
77,UWaveGestureLibraryZ,0.7127303182579564,0.7110552763819096,0.7091010608598548,0.7109622184999069
78,Wafer,0.996268656716418,0.9957819597663856,0.995619727449708,0.9958901146441704
79,Wine,0.8333333333333334,0.6851851851851852,0.6111111111111112,0.7098765432098766
80,WordSynonyms,0.5172413793103449,0.5376175548589341,0.542319749216301,0.53239289446186
81,Worms,0.7012987012987013,0.6883116883116883,0.7402597402597403,0.7099567099567099
82,WormsTwoClass,0.7662337662337663,0.7922077922077922,0.7532467532467533,0.7705627705627706
83,Yoga,0.844,0.8433333333333334,0.849,0.8454444444444444
