,dataset,run_1,run_2,run_3,mean_accuracy
0,Adiac,0.7621483375959079,0.7570332480818415,0.7570332480818415,0.7587382779198637
1,ArrowHead,0.8114285714285714,0.8171428571428572,0.8,0.8095238095238096
2,Beef,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,BeetleFly,0.75,0.75,0.75,0.75
4,BirdChicken,0.9,0.95,0.9,0.9166666666666666
5,CBF,1.0,1.0,1.0,1.0
6,Car,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
7,ChlorineConcentration,0.6807291666666667,0.6981770833333333,0.6890625,0.6893229166666667
8,CinCECGTorso,0.7,0.7137681159420289,0.717391304347826,0.7103864734299518
9,Coffee,1.0,1.0,1.0,1.0
10,Computers,0.72,0.688,0.708,0.7053333333333333
11,CricketX,0.7282051282051282,0.7410256410256411,0.7410256410256411,0.7367521367521368
12,CricketY,0.7256410256410256,0.7410256410256411,0.7307692307692307,0.7324786324786325
13,CricketZ,0.7512820512820513,0.7307692307692307,0.7461538461538462,0.7427350427350428
14,DiatomSizeReduction,0.9607843137254902,0.9509803921568628,0.9575163398692812,0.9564270152505449
15,DistalPhalanxOutlineAgeGroup,0.7050359712230215,0.762589928057554,0.762589928057554,0.7434052757793764
16,DistalPhalanxOutlineCorrect,0.7572463768115942,0.7391304347826086,0.75,0.7487922705314011
17,DistalPhalanxTW,0.5611510791366906,0.5899280575539568,0.5971223021582733,0.5827338129496402
18,ECG200,0.9,0.91,0.9,0.9033333333333333
19,ECG5000,0.9262222222222222,0.9268888888888888,0.9248888888888888,0.9259999999999998
20,ECGFiveDays,0.940766550522648,0.9442508710801394,0.9477351916376306,0.9442508710801393
21,Earthquakes,0.5179856115107914,0.5179856115107914,0.5755395683453237,0.5371702637889688
22,FaceAll,0.7893491124260354,0.7923076923076923,0.7893491124260354,0.7903353057199212
23,FaceFour,0.9431818181818182,0.9431818181818182,0.9318181818181818,0.9393939393939394
24,FacesUCR,0.8941463414634147,0.8873170731707317,0.8809756097560976,0.887479674796748
25,FiftyWords,0.6285714285714286,0.6505494505494506,0.6285714285714286,0.6358974358974359
26,Fish,0.8857142857142857,0.8857142857142857,0.8742857142857143,0.881904761904762
27,FordA,0.8765151515151515,0.8704545454545455,0.8712121212121212,0.8727272727272727
28,FordB,0.7283950617283951,0.7358024691358025,0.7197530864197531,0.7279835390946502
