,dataset,run_1,run_2,run_3,mean_accuracy
0,Adiac,0.7570332480818415,0.7570332480818415,0.7519181585677749,0.7553282182438193
1,ArrowHead,0.8228571428571428,0.8114285714285714,0.8171428571428572,0.8171428571428572
2,Beef,0.6,0.6,0.6,0.6
3,BeetleFly,0.75,0.75,0.8,0.7666666666666666
4,BirdChicken,0.9,0.9,0.9,0.9
5,CBF,1.0,1.0,1.0,1.0
6,Car,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
7,ChlorineConcentration,0.6799479166666667,0.6458333333333334,0.6802083333333333,0.6686631944444444
8,CinCECGTorso,0.7217391304347827,0.7,0.7043478260869566,0.7086956521739131
9,Coffee,1.0,1.0,1.0,1.0
10,Computers,0.716,0.708,0.708,0.7106666666666666
11,CricketX,0.7282051282051282,0.7384615384615385,0.7307692307692307,0.7324786324786325
12,CricketY,0.735897435897436,0.7307692307692307,0.7333333333333333,0.7333333333333334
13,CricketZ,0.7282051282051282,0.7410256410256411,0.7256410256410256,0.7316239316239317
14,DiatomSizeReduction,0.954248366013072,0.9607843137254902,0.9575163398692812,0.9575163398692812
15,DistalPhalanxOutlineAgeGroup,0.7122302158273381,0.7266187050359713,0.7553956834532374,0.7314148681055155
16,DistalPhalanxOutlineCorrect,0.7536231884057971,0.7427536231884058,0.7355072463768116,0.7439613526570049
17,DistalPhalanxTW,0.5827338129496403,0.5755395683453237,0.5683453237410072,0.5755395683453237
18,ECG200,0.92,0.91,0.91,0.9133333333333334
19,ECG5000,0.926,0.9248888888888888,0.9271111111111112,0.926
20,ECGFiveDays,0.934959349593496,0.9465737514518002,0.9488966318234612,0.9434765776229191
21,Earthquakes,0.5611510791366906,0.5539568345323741,0.5467625899280576,0.5539568345323741
22,FaceAll,0.7863905325443787,0.7911242603550296,0.7863905325443787,0.7879684418145957
23,FaceFour,0.9318181818181818,0.9204545454545454,0.9431818181818182,0.9318181818181818
24,FacesUCR,0.8892682926829268,0.8878048780487805,0.884390243902439,0.8871544715447155
25,FiftyWords,0.6395604395604395,0.6505494505494506,0.6461538461538462,0.6454212454212453
26,Fish,0.8914285714285715,0.8914285714285715,0.8857142857142857,0.8895238095238095
27,FordA,0.8689393939393939,0.871969696969697,0.8712121212121212,0.8707070707070707
28,FordB,0.7296296296296296,0.7308641975308642,0.737037037037037,0.7325102880658436
29,GunPoint,0.98,0.9866666666666668,0.9866666666666668,0.9844444444444446
30,Ham,0.6857142857142857,0.6666666666666666,0.6571428571428571,0.6698412698412698
31,HandOutlines,0.8702702702702703,0.8783783783783784,0.8621621621621621,0.8702702702702703
32,Haptics,0.4318181818181818,0.4318181818181818,0.3928571428571428,0.41883116883116883
33,Herring,0.59375,0.578125,0.609375,0.59375
34,InlineSkate,0.3945454545454545,0.3654545454545455,0.3727272727272727,0.3775757575757576
35,InsectWingbeatSound,0.5964646464646465,0.5984848484848485,0.5984848484848485,0.5978114478114479
36,ItalyPowerDemand,0.9601554907677357,0.9601554907677357,0.9543245869776482,0.9582118561710399
