,dataset,run_1,run_2,run_3,mean_accuracy
37,LargeKitchenAppliances,0.7546666666666667,0.76,0.7653333333333333,0.7600000000000001
38,Lightning2,0.7377049180327869,0.7213114754098361,0.7049180327868853,0.7213114754098361
39,Lightning7,0.7534246575342466,0.7534246575342466,0.7534246575342466,0.7534246575342466
40,Mallat,0.9663113006396588,0.9667377398720682,0.9684434968017056,0.9671641791044775
41,Meat,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332
42,MedicalImages,0.7513157894736842,0.7407894736842106,0.7486842105263158,0.7469298245614034
43,MiddlePhalanxOutlineAgeGroup,0.525974025974026,0.487012987012987,0.5454545454545454,0.5194805194805195
44,MiddlePhalanxOutlineCorrect,0.7525773195876289,0.7594501718213058,0.7697594501718213,0.7605956471935853
45,MiddlePhalanxTW,0.5,0.487012987012987,0.474025974025974,0.48701298701298706
46,MoteStrain,0.9161341853035144,0.915335463258786,0.9121405750798722,0.9145367412140576
47,NonInvasiveFetalECGThorax1,0.910941475826972,0.9078880407124682,0.9038167938931296,0.9075487701441899
48,NonInvasiveFetalECGThorax2,0.9333333333333332,0.9287531806615776,0.9338422391857506,0.9319762510602204
49,OSULeaf,0.8264462809917356,0.8099173553719008,0.8140495867768595,0.8168044077134985
50,OliveOil,0.8333333333333334,0.8,0.8666666666666667,0.8333333333333334
51,PhalangesOutlinesCorrect,0.7692307692307693,0.7832167832167832,0.7902097902097902,0.7808857808857809
52,Phoneme,0.0996835443037974,0.1197257383966244,0.1049578059071729,0.10812236286919824
53,Plane,1.0,1.0,1.0,1.0
54,ProximalPhalanxOutlineAgeGroup,0.7853658536585366,0.7853658536585366,0.8,0.7902439024390245
55,ProximalPhalanxOutlineCorrect,0.8694158075601375,0.8591065292096219,0.8487972508591065,0.859106529209622
56,ProximalPhalanxTW,0.6926829268292682,0.7219512195121951,0.7170731707317073,0.7105691056910569
57,RefrigerationDevices,0.4906666666666666,0.4853333333333333,0.472,0.48266666666666663
58,ScreenType,0.4,0.4133333333333333,0.4053333333333333,0.4062222222222222
59,ShapeletSim,1.0,1.0,1.0,1.0
60,ShapesAll,0.8483333333333334,0.8566666666666667,0.8466666666666667,0.8505555555555556
61,SmallKitchenAppliances,0.7413333333333333,0.744,0.744,0.743111111111111
62,SonyAIBORobotSurface1,0.9201331114808652,0.91846921797005,0.9267886855241264,0.9217970049916806
63,SonyAIBORobotSurface2,0.912906610703043,0.9097586568730324,0.912906610703043,0.9118572927597061
64,StarLightCurves,0.966731423020884,0.9672170956775132,0.9666100048567264,0.9668528411850411
65,Strawberry,0.9432432432432432,0.9432432432432432,0.9432432432432432,0.9432432432432432
66,SwedishLeaf,0.9328,0.9264,0.936,0.9317333333333333
67,Symbols,0.978894472361809,0.978894472361809,0.9809045226130654,0.9795644891122278
68,SyntheticControl,0.9833333333333332,0.9866666666666668,0.9866666666666668,0.9855555555555556
69,ToeSegmentation1,0.912280701754386,0.9035087719298246,0.8947368421052632,0.9035087719298246
70,ToeSegmentation2,0.9,0.9076923076923076,0.9153846153846154,0.9076923076923076
71,Trace,1.0,1.0,1.0,1.0
72,TwoLeadECG,0.9692712906057944,0.9701492537313432,0.9727831431079894,0.9707345624817091
73,TwoPatterns,0.999,0.998,0.999,0.9986666666666667
74,UWaveGestureLibraryAll,0.9126186487995532,0.9061976549413736,0.9092685650474596,0.9093616229294622
75,UWaveGestureLibraryX,0.7836404243439419,0.7800111669458403,0.7769402568397543,0.7801972827098455
76,UWaveGestureLibraryY,0.7197096594081519,0.7202680067001676,0.7269681742043551,0.7223152801042249
77,UWaveGestureLibraryZ,0.7138470128419877,0.7107761027359017,0.7158012283640425,0.7134747813139773
78,Wafer,0.9957819597663856,0.9961064243997404,0.995944192083063,0.995944192083063
79,Wine,0.7407407407407407,0.7962962962962963,0.8518518518518519,0.7962962962962963
80,WordSynonyms,0.5078369905956113,0.5141065830721003,0.5407523510971787,0.5208986415882967
81,Worms,0.6753246753246753,0.7142857142857143,0.7142857142857143,0.7012987012987013
82,WormsTwoClass,0.7272727272727273,0.7272727272727273,0.7532467532467533,0.735930735930736
83,Yoga,0.8436666666666667,0.8403333333333334,0.8453333333333334,0.8431111111111113
